id,name,powerPlayPercentage,powerplayspergame,penaltyKillPercentage,shotsPerGame,shotsAllowed,savePctg,shootingPctg,faceOffWinPercentage
1,New Jersey Devils,13.6,2.95,63.9,30.1,30.45,0.895,8.3,44.6
2,New York Islanders,23.4,2.6666666666666665,83.0,30.0833,27.4167,0.919,9.4,52.3
3,New York Rangers,15.7,3.772727272727273,86.5,29.7273,29.5455,0.912,9.8,44.4
4,Philadelphia Flyers,18.9,3.5238095238095237,71.8,26.8571,31.4762,0.903,12.4,53.3
5,Pittsburgh Penguins,17.6,2.9565217391304346,73.6,29.0,29.4783,0.891,10.3,48.8
6,Boston Bruins,25.0,2.857142857142857,88.7,31.1429,26.3333,0.906,9.6,56.3
7,Buffalo Sabres,30.2,2.8636363636363638,81.6,28.8636,30.9091,0.899,7.6,52.3
8,Montréal Canadiens,21.9,2.782608695652174,76.7,33.5652,28.8696,0.904,10.1,47.5
9,Ottawa Senators,15.1,3.576923076923077,73.8,32.5,31.3846,0.875,8.2,48.9
10,Toronto Maple Leafs,31.2,3.076923076923077,77.3,30.1538,28.6923,0.916,11.5,51.8
12,Carolina Hurricanes,30.1,3.1739130434782608,80.0,31.6957,29.5652,0.909,10.6,54.1
13,Florida Panthers,26.5,2.9565217391304346,76.9,34.5652,30.8696,0.91,9.7,48.0
14,Tampa Bay Lightning,25.3,3.409090909090909,88.3,29.9091,28.3182,0.929,11.7,49.3
15,Washington Capitals,26.7,2.608695652173913,81.1,28.9565,29.3478,0.892,11.1,48.5
16,Chicago Blackhawks,31.5,2.92,76.0,30.72,34.24,0.916,10.0,47.1
17,Detroit Red Wings,10.7,2.8846153846153846,69.9,28.4231,30.6538,0.891,7.3,52.9
18,Nashville Predators,19.0,3.2916666666666665,70.4,32.2083,29.5833,0.889,7.2,52.6
19,St. Louis Blues,18.7,3.0,74.2,30.08,29.96,0.897,10.6,53.2
20,Calgary Flames,21.8,3.48,79.3,29.56,31.2,0.903,9.1,49.7
21,Colorado Avalanche,23.5,3.8636363636363638,86.6,32.6818,26.1818,0.905,9.5,52.7
22,Edmonton Oilers,25.3,3.3461538461538463,75.9,30.7692,32.1154,0.904,10.4,50.3
23,Vancouver Canucks,20.2,3.1785714285714284,81.0,31.0714,33.0357,0.899,9.2,52.6
24,Anaheim Ducks,13.6,2.36,81.2,27.36,29.16,0.898,7.9,51.2
25,Dallas Stars,25.4,3.736842105263158,79.7,27.4737,28.5263,0.911,10.2,50.1
26,Los Angeles Kings,25.3,3.608695652173913,81.9,29.0,30.8261,0.91,10.0,50.3
28,San Jose Sharks,17.4,3.1363636363636362,78.5,30.4091,32.4091,0.881,8.8,47.1
29,Columbus Blue Jackets,16.2,2.6153846153846154,74.2,28.5,31.0385,0.897,9.2,45.8
30,Minnesota Wild,6.9,3.272727272727273,83.3,30.9091,29.3182,0.907,10.1,46.6
52,Winnipeg Jets,23.6,3.0,77.0,29.7083,31.5417,0.91,11.1,48.8
53,Arizona Coyotes,20.5,3.4583333333333335,82.7,26.5,30.75,0.904,9.9,48.5
54,Vegas Golden Knights,18.2,3.142857142857143,87.7,30.1429,27.6667,0.924,11.1,50.3
